,model,version,equipments,mileage,mmyy,power,use_type,n_owners,gear,fuel_type,seller_company_name,seller_CAP,seller_city,price
63,BMW i3,94 Ah navi,,52000,03/2017,75 kW (102 CV),Usato,1,Automatico,Elettrica,Prontoauto Spa,33017,Collalto di Tarcento - Udine - Ud,20900
64,BMW i3,94 Ah (Range Extender),,48000,10/2016,75 kW (102 CV),Usato,,Automatico,Elettrica,Motorgest-Liguria by Massimo Carrese,18038,Sanremo -Im,21200
65,BMW i3,94 Ah,,27625,09/2017,75 kW (102 CV),Usato,1,Automatico,Elettrica,Cambiomarcia Srl,42122,Reggio Emilia,21400
66,BMW i3,94Ah,,36562,06/2017,125 kW (170 CV),Usato,,Automatico,Elettrica,Audi Zentrum Modena - Schiatti Motor Srl,41126,Modena - Mo,21500
67,BMW i3,94 Ah (Range Extender),,105000,12/2016,125 kW (170 CV),Usato,1,Automatico,Elettrica/Benzina,BRIXINA - ACTIVA SPA,39042,Bressanone - Bolzano - Bz,21500
68,BMW i3,94 Ah (Range Extender),,105000,12/2016,125 kW (170 CV),Usato,1,Automatico,Elettrica/Benzina,ACTIVA SPA,38121,Trento - Tn,21500
69,BMW i3,94 AH RANGE EXTENDER **LED-NAVI-CARICA RAPIDA**,,63000,03/2017,75 kW (102 CV),Usato,1,Automatico,Elettrica,Giannauto Srl,20823,Lentate sul Seveso - Monza Brianza - Mb,21500
70,BMW i3,I3S 94,,51000,11/2018,75 kW (102 CV),Usato,1,Automatico,Elettrica,"Privato, ",39100,Bolzano,21600
71,BMW i3,i3 94 Ah (Range Extender),,63000,10/2017,75 kW (102 CV),Usato,2,Automatico,Elettrica,"Privato, ",59100,Prato,21900
72,BMW i3,i3s - 170 CV - AZIENDALI BMW - F24 PAGATO,,18000,03/2018,125 kW (170 CV),Usato,,Automatico,Elettrica,1P Auto srl,00175,Roma - Rm,21900
